Date;TMin;TMax;TAvg;AvgWind;AvgCloud;DayLength;AvgLoadPrevDay;AvgTempPrevDay;LoadLastHourPrevDay;MinTempDiff;MaxTempDiff;AvgTempDiff;AvgWindDiff;AvgCloudDiff;DayLengthDiff;TimeDistance;TemperatureHourlySqrDeviationStartDay;TemperatureHourlySqrDeviationMiddleDay;TemperatureHourlySqrDeviationEndDay;WindHourlySqrDeviationStartDay;WindHourlySqrDeviationMiddleDay;WindHourlySqrDeviationEndDay;InertiaAvgLoadDiffPerc;InertiaAvgTempDiffPerc;InertiaLoadLastHourDiffPerc;CoefficientWeather;CoefficientInertia; CoefficientDayLength;CoefficientDateProximity;CalculatedCoeficient;AbandonedByCoef;AbandonedByLoad;Chosen
2019-02-04;3.8;8;5.1;1.8;0;596;4383;11.83;4344;2.6;3.5;1.5;1.9;44;24;1.97;2.14;1.53;3.28;2.45;1.24;0.71;0.39;0.5;2.5;4.23;1.16;0.8;1.97;1.953744076;FALSE;FALSE;TRUE
2019-12-23;6;11.6;7.2;4.2;0;528;4159;14.67;4196;4.8;0.1;3.6;0.5;38;44;1.09;4.55;3.46;4.53;1.41;2.08;0.87;3.37;1.71;0.99;3.35;2.27;1.47;1.09;2.181943128;FALSE;FALSE;TRUE
2019-12-02;2.2;8.6;4.6;3.8;0;543;4123;6.83;4400;1;2.9;1;0.1;44;29;1.15;1.81;2.16;1;1.25;1.69;0.5;1.2;8.83;3.82;2.2;4.48;0.97;1.15;2.030094787;FALSE;FALSE;TRUE
2021-01-04;7;9.9;8.2;2.9;0;535;3888;8;4156;5.8;1.6;4.6;0.8;42;37;0.06;3.85;5.11;6;1.07;0.82;0.71;3.78;2.83;1.93;4.04;3.36;1.23;0.06;2.552322275;FALSE;FALSE;TRUE
2017-11-20;2.5;9.1;5.1;1.9;0;563;4294;6.67;4299;1.3;2.4;1.5;1.8;50;9;3.18;0.65;2.52;2.78;3.25;1.18;1;1.11;4.87;1.44;3.97;2.47;0.3;3.18;2.40957346;FALSE;FALSE;TRUE
2020-11-23;1;8.1;4.4;1.3;0;557;4221;3.54;4384;0.2;3.4;0.8;2.4;48;15;0.17;1.89;2.02;3;3.32;1.63;1.22;2.61;7.25;3.45;4.48;4.53;0.5;0.17;2.678578199;FALSE;FALSE;FALSE
2020-12-07;3;6.9;5.3;6.8;0;535;4398;9.71;4352;1.8;4.6;1.7;3.1;58;37;0.13;2.1;2.48;1.8;3.98;4.03;4.27;1.48;2.33;2.69;6.49;2.17;1.23;0.13;2.743080569;FALSE;FALSE;FALSE
2017-11-27;1.3;4.9;2.9;2;0;550;4188;9.5;4375;0.1;6.6;0.7;1.7;50;22;3.16;2.39;0.82;0.71;2.48;1.03;0;1.61;4.62;3.23;3.96;3.1;0.73;3.16;2.740189573;FALSE;FALSE;FALSE
2020-12-21;3.4;8.4;5.1;3.6;0;527;4398;3.75;4522;2.2;3.1;1.5;0.1;42;45;0.1;1.51;2.37;2.29;0.76;0.89;1.32;5.7;7.29;6.7;2.44;6.56;1.5;0.1;3.390236967;FALSE;FALSE;FALSE
2020-11-09;4;6.3;5.3;1.1;0;588;3965;8;4014;2.8;5.2;1.7;2.6;29;16;0.21;1.25;2.25;4.53;3.25;1.59;1.32;6.53;2.92;5.29;5.19;5.32;0.53;0.21;3.404549763;FALSE;FALSE;FALSE
