Date;TMin;TMax;TAvg;AvgWind;AvgCloud;DayLength;AvgLoadPrevDay;AvgTempPrevDay;LoadLastHourPrevDay;MinTempDiff;MaxTempDiff;AvgTempDiff;AvgWindDiff;AvgCloudDiff;DayLengthDiff;TimeDistance;TemperatureHourlySqrDeviationStartDay;TemperatureHourlySqrDeviationMiddleDay;TemperatureHourlySqrDeviationEndDay;WindHourlySqrDeviationStartDay;WindHourlySqrDeviationMiddleDay;WindHourlySqrDeviationEndDay;InertiaAvgLoadDiffPerc;InertiaAvgTempDiffPerc;InertiaLoadLastHourDiffPerc;CoefficientWeather;CoefficientInertia; CoefficientDayLength;CoefficientDateProximity;CalculatedCoeficient;AbandonedByCoef;AbandonedByLoad;Chosen
2020-12-06;6,90;13,00;9,00;6,50;0;536;4709;5,63;4446;5,90;2,50;3,60;4,60;21;4;0,07;6,37;4,16;1,58;4,14;4,90;4,06;3,82;2,29;11,96;8,66;7,35;0,13;0,07;3,28;False;False;False
2020-11-15;7,40;11,50;8,80;1,60;0;574;4277;8,63;4133;6,40;1,00;3,40;0,30;58;42;0,13;5,50;3,68;2,12;1,00;0,93;1,00;3,47;2,00;4,08;3,89;3,43;1,40;0,13;1,86;False;False;True
2020-11-08;5,10;14,10;8,30;1,40;0;591;4098;9,79;4019;4,10;3,60;2,90;0,50;21;59;0,15;4,90;3,90;0,50;1,00;0,93;2,00;6,41;0,58;1,21;3,22;3,03;1,97;0,15;1,79;False;False;True
2020-11-01;6,40;14,70;9,60;1,40;0;609;3993;12,00;3796;5,40;4,20;4,20;0,50;31;77;0,17;5,15;4,26;4,00;1,51;0,68;1,00;9,48;4,88;4,41;3,95;6,28;2,57;0,17;2,86;False;False;False
2020-10-25;12,00;16,60;14,20;1,20;0;630;3914;13,63;3842;11,00;6,10;8,80;0,70;58;98;0,19;11,33;8,15;6,76;0,65;0,73;2,00;9,42;7,00;3,25;6,98;6,31;3,27;0,19;3,54;False;False;False
2020-03-22;3,00;7,50;5,30;2,10;0;737;3934;14,25;3830;2,00;3,00;0,10;0,20;77;205;0,78;2,90;2,31;1,32;1,56;0,68;1,22;11,12;6,04;3,55;2,95;6,82;6,83;0,78;4,06;False;False;False
2020-03-15;3,10;11,10;5,90;3,20;0;715;3972;13,50;4057;2,10;0,60;0,50;1,30;25;183;0,80;3,55;1,21;2,00;2,39;1,41;0,71;5,17;1,88;2,17;3,07;3,51;6,10;0,80;3,10;False;False;False
2020-03-08;4,20;7,30;5,40;2,10;0;693;4325;8,13;4242;3,20;3,20;0,00;0,20;79;161;0,82;3,16;3,03;0,71;1,31;0,73;1,00;1,77;1,21;6,82;3,17;3,90;5,37;0,82;3,04;False;False;False
2020-03-01;7,00;17,30;11,80;2,30;0;671;4576;5,00;4425;6,00;6,80;6,40;0,40;48;139;0,84;4,78;6,45;7,00;1,25;0,73;0,87;2,59;1,08;11,43;4,93;6,40;4,63;0,84;3,78;False;False;False
2020-02-23;4,60;16,20;10,40;1,60;0;650;4562;5,75;4424;3,60;5,70;5,00;0,30;23;118;0,86;3,27;5,25;7,30;1,31;0,86;0,50;0,44;1,71;11,41;3,55;5,76;3,93;0,86;3,24;False;False;False
2020-02-16;3,80;13,90;8,40;2,60;0;629;4527;7,42;4458;2,80;3,40;3,00;0,70;17;97;0,88;2,04;3,38;3,54;0,85;1,18;0,87;0,86;1,08;12,26;2,92;6,03;3,23;0,88;3,04;False;False;False
2020-02-02;11,60;18,00;14,10;2,20;0;590;4530;9,92;4265;10,60;7,50;8,70;0,30;29;58;0,91;10,55;8,43;8,06;1,51;0,86;0,71;1,45;5,83;7,40;6,16;4,86;1,93;0,91;2,98;False;False;False
2020-01-26;3,00;13,60;8,30;1,00;0;573;4950;1,63;4736;2,00;3,10;2,90;0,90;42;41;0,93;2,93;2,71;3,77;1,07;1,03;1,94;11,83;3,13;19,26;3,52;13,64;1,37;0,93;4,59;False;False;False
2019-12-22;10,40;16,40;13,10;3,80;0;527;4291;11,92;4156;9,40;5,90;7,70;1,90;25;5;1,03;8,74;7,78;7,04;1,65;3,00;0,71;1,84;7,25;4,66;7,19;4,04;0,17;1,03;2,57;False;False;False
2019-12-15;3,00;16,40;8,50;1,90;0;530;4502;7,13;4441;2,00;5,90;3,10;0,00;17;2;1,05;2,00;4,02;3,28;1,41;1,13;1,00;3,22;0,83;11,84;2,48;6,54;0,07;1,05;2,40;False;False;True
2019-12-08;3,10;10,70;5,30;1,10;0;535;4756;2,00;4496;2,10;0,20;0,10;0,80;29;3;1,07;1,89;1,41;2,00;1,25;1,37;2,55;6,75;0,25;13,22;2,57;8,69;0,10;1,07;2,96;False;False;False
2019-11-24;4,30;13,10;7,00;5,80;0;556;4079;8,38;4153;3,30;2,60;1,60;3,90;23;24;1,11;1,96;2,50;0,71;4,41;4,37;2,40;3,55;1,50;4,58;6,76;3,81;0,80;1,11;2,62;False;False;False
