Date;TMin;TMax;TAvg;AvgWind;AvgCloud;DayLength;AvgLoadPrevDay;AvgTempPrevDay;LoadLastHourPrevDay;MinTempDiff;MaxTempDiff;AvgTempDiff;AvgWindDiff;AvgCloudDiff;DayLengthDiff;TimeDistance;TemperatureHourlySqrDeviationStartDay;TemperatureHourlySqrDeviationMiddleDay;TemperatureHourlySqrDeviationEndDay;WindHourlySqrDeviationStartDay;WindHourlySqrDeviationMiddleDay;WindHourlySqrDeviationEndDay;InertiaAvgLoadDiffPerc;InertiaAvgTempDiffPerc;InertiaLoadLastHourDiffPerc;CoefficientWeather;CoefficientInertia; CoefficientDayLength;CoefficientDateProximity;CalculatedCoeficient;AbandonedByCoef;AbandonedByLoad;Chosen
2016-12-25;-1,70;2,50;0,30;1,70;0;529;5257;-3,50;5078;2,30;6,50;0,77;0,18;100;3;0,02;1,85;2,31;3,54;0,93;1,15;0,87;2,49;0,46;6,75;3,65;3,56;0,10;0,02;1,95;False;False;True
2016-12-18;-5,70;-3,10;-3,80;2,00;0;528;4978;-0,63;5009;1,70;12,10;4,87;0,13;100;4;0,04;0,53;5,34;2,78;0,76;1,06;1,12;0,64;0,79;5,30;4,89;2,25;0,13;0,04;1,85;False;False;True
2016-12-04;-2,60;6,50;1,30;1,40;0;539;4652;5,17;4626;1,40;2,50;0,23;0,48;0;7;0,08;1,89;1,71;1,58;0,53;0,68;0,50;8,36;4,46;2,75;1,52;5,64;0,23;0,08;2,13;False;False;True
2016-11-13;1,30;3,50;2,50;4,60;0;579;4051;8,83;4212;5,30;5,50;1,43;2,73;89;47;0,13;5,30;2,83;3,54;5,62;3,36;0,50;16,28;9,83;11,46;7,55;13,36;1,57;0,13;6,15;False;False;False
2016-01-24;-4,00;-0,90;-1,90;1,30;0;568;5076;-3,29;5127;0,00;9,90;2,97;0,58;89;36;0,94;0,76;3,40;0,50;0,65;0,58;0,87;1,61;1,46;7,78;4,09;3,65;1,20;0,94;2,54;False;False;False
2016-01-17;-3,60;0,20;-2,20;3,60;0;554;4627;5,17;4771;0,40;8,80;3,27;1,73;100;22;0,96;2,75;4,60;2,87;2,30;2,45;1,80;7,21;3,67;0,29;6,18;4,27;0,73;0,96;3,12;False;False;False
2015-12-20;3,10;5,70;4,40;1,70;0;527;4877;2,92;4475;7,10;3,30;3,33;0,18;100;5;1,03;6,45;4,40;6,00;0,76;0,86;0,50;9,86;5,71;5,93;4,57;7,11;0,17;1,03;3,52;False;False;False
2015-12-13;-1,40;2,60;1,00;1,50;0;530;4658;4,58;4619;2,60;6,40;0,07;0,38;88;2;1,05;3,74;1,88;2,87;1,00;0,77;1,22;8,48;4,88;2,90;3,69;5,78;0,07;1,05;2,89;False;False;False
2015-12-06;4,00;7,80;5,40;1,60;0;538;4299;7,83;4341;8,00;1,20;4,33;0,28;100;6;1,07;8,44;4,28;4,00;0,65;0,52;0,50;12,37;7,92;8,75;4,61;10,35;0,20;1,07;4,52;False;False;False
2015-11-22;0,40;4,50;2,50;2,20;0;560;4104;12,42;3961;4,40;4,50;1,43;0,33;83;28;1,11;5,32;2,49;3,77;1,51;1,10;0,71;20,64;13,08;16,73;3,98;17,55;0,93;1,11;6,72;False;False;False
